,0
2010-01-12,0.0037789523567675174
2010-01-13,-0.0017733002222868979
2010-01-14,-0.0003261479489924875
2010-01-15,0.00014496076345589304
2010-01-19,-0.0023044686607897836
2010-01-20,-0.001502011631190255
2010-01-21,-0.0020110409374184983
2010-01-22,-0.0032955528368567603
2010-01-25,0.00040090141502415085
2010-01-26,-0.002726795701119687
2010-01-27,-0.0021358869405038294
2010-01-28,-0.0025178934784176343
2010-01-29,-0.0008428512544385266
2010-02-01,0.006681470001296713
2010-02-02,0.005343250881112549
2010-02-03,0.0011193123798643608
2010-02-04,0.005520705773177363
2010-02-05,0.0019144248505890103
2010-02-08,-0.0035586389603242566
2010-02-09,0.006086389095414955
2010-02-10,-6.476619354941793e-05
2010-02-11,2.0524699376256867e-05
2010-02-12,-0.000856891426141256
2010-02-16,-0.0031664722234074076
2010-02-17,0.0012712729205897723
2010-02-18,0.0006420266150414221
2010-02-19,-0.0006759903012901196
2010-02-22,-0.0008436964100029497
2010-02-23,0.002018485317704994
2010-02-24,-0.00020493100346324975
2010-02-25,0.0006317076742388175
2010-02-26,0.002967823582521532
2010-03-01,0.0012572165953269564
2010-03-02,0.0014309037147551833
2010-03-03,0.0012651560226269282
2010-03-04,0.0026408742907923135
2010-03-05,-0.004447785316753404
2010-03-08,-7.306864315347164e-05
2010-03-09,0.0011560630656396792
2010-03-10,-0.0002485308510914366
2010-03-11,-0.0005944619399771347
2010-03-12,0.0011043075417050414
2010-03-15,-0.0007625901943704608
2010-03-16,-0.0010847943191394371
2010-03-17,0.0003842204364932634
2010-03-18,-0.0012380187576493938
2010-03-19,-0.0020591961821518523
2010-03-22,-0.0016978479042077449
2010-03-23,0.004325769887017896
2010-03-24,0.0007431735510100315
2010-03-25,-0.0012424495835531059
2010-03-26,0.0007223516891330564
2010-03-29,0.00012975256790407122
2010-03-30,0.0010361800401121365
2010-03-31,0.000709068742557091
2010-04-01,-0.001457878429565366
2010-04-05,-0.0002598069840502521
2010-04-06,-0.0007535774324378629
2010-04-07,-0.0008909304106968744
2010-04-08,-0.0022040987974519654
2010-04-09,0.00035161643819597496
2010-04-12,-0.0023524941165831113
2010-04-13,0.0016407204674304798
2010-04-14,-0.003040003015881745
2010-04-15,0.0005962062254711456
2010-04-16,0.002904669328973991
2010-04-19,0.0007850413402666337
2010-04-20,-0.0018586209859554415
2010-04-21,-0.001162106669405184
2010-04-22,0.0025124116361449427
2010-04-23,0.001573724614051414
2010-04-26,0.0014935050092129082
2010-04-27,0.00607501724997706
2010-04-28,-0.00022328133046749292
2010-04-29,0.00025881228610604367
2010-04-30,-0.004793133673828505
2010-05-03,-0.00032916476406038967
2010-05-04,-4.630133471447337e-05
2010-05-05,0.0017479952905535788
2010-05-06,-0.0008352299013995101
2010-05-07,-0.0005699784716353537
2010-05-10,0.017053115660433736
2010-05-11,0.001523524759747698
2010-05-12,0.005604770468431061
2010-05-13,0.0028461703586661227
2010-05-14,0.006618499196644251
2010-05-17,-0.0026342530902009127
2010-05-18,-0.0003091482581406449
2010-05-19,-0.000837000411125953
2010-05-20,-0.00793808344942607
2010-05-21,0.009246479863988976
2010-05-24,-0.001886219928500697
2010-05-25,-0.0012194942068191519
2010-05-26,0.0010821507736311297
2010-05-27,0.005305894436239859
2010-05-28,-0.0022866278032639418
2010-06-01,0.006852468790545409
2010-06-02,-0.0040914343724775554
2010-06-03,0.00010788462283871264
2010-06-04,-0.006971357057066358
2010-06-07,-0.0030026256495587446
2010-06-08,0.00029387355010126
2010-06-09,0.0002503357970224199
2010-06-10,0.01331374784524127
2010-06-11,0.007692005410855946
2010-06-14,0.0009314527965628387
2010-06-15,-0.006157169024934605
2010-06-16,0.003953407510771011
2010-06-17,0.001415865732031117
2010-06-18,-0.00010600194436622453
2010-06-21,0.001580631961598587
2010-06-22,-0.0005908896595272167
2010-06-23,0.001145550661406322
2010-06-24,-0.00202775449140959
2010-06-25,0.0015280671077632308
2010-06-28,-0.0016008042672989867
2010-06-29,-0.002628987868051597
2010-06-30,0.00019212596459304392
2010-07-01,0.001088597320262258
2010-07-02,-0.0011181670499837981
2010-07-06,-0.006363039902207154
2010-07-07,0.010047105730022885
2010-07-08,0.005212318268052964
2010-07-09,0.004309767578621228
2010-07-12,0.0013239999903592059
2010-07-13,-0.007841290738402788
2010-07-14,0.00030511212903821193
2010-07-15,0.003520312822652875
2010-07-16,0.007275729515156145
2010-07-19,-0.0002543636665156189
2010-07-20,0.004402688444756218
2010-07-21,-0.006277962679494622
2010-07-22,0.009005140314871297
2010-07-23,0.002256402208723602
2010-07-26,0.00024321178280765056
2010-07-27,0.004397500108235372
2010-07-28,0.0075466816381315185
2010-07-29,2.9021744422487743e-05
2010-07-30,0.00114038276908489
2010-08-02,0.0014804117581862421
2010-08-03,-0.0006452455929199497
2010-08-04,0.0005157681178303957
2010-08-05,-0.0006066598184650988
2010-08-06,-0.00015211283478712922
2010-08-09,-0.000489274132832611
2010-08-10,-0.003327440875246002
2010-08-11,-0.0024822991348030597
2010-08-12,-0.0022654238355209015
2010-08-13,-0.006360220105789361
2010-08-16,0.00223099639983367
2010-08-17,0.007417011459533408
